Accession Number,AMNP,CMNP,NP50,con,p2k,p20k,phys
P00745,0,0,0,0,0,0,5
Q3ZBN5,0,0,0,7,0,0,0
Q0VCM4,0,0,0,3,0,0,6
Q9N179,0,0,0,0,0,0,6
Q5E9F7,0,0,4,3,0,0,3
Q3T0P6,0,0,0,3,0,0,5
P00743,0,0,0,0,0,0,10
P54228,0,0,0,0,0,0,3
Q32KY0,0,0,3,3,0,0,0
P33072,0,0,0,0,0,0,3
P01035,0,0,0,0,0,0,5
O97593,0,0,0,0,0,0,3
Q3MHY1,0,0,0,3,0,0,6
Q9MYY0,0,0,0,0,0,0,9
P28782,0,0,0,0,0,0,3
Q3T0K2,0,0,0,0,0,0,6
P81947,0,0,0,3,0,0,3
P04272,0,0,0,0,3,0,0
P80929,0,0,0,3,0,0,0
Q3SZP2,0,0,0,4,0,0,0
Q17QH6,0,0,0,4,0,0,0
Q9XSC9,0,0,0,0,0,0,5
Q76LV2,0,0,0,0,0,0,3
Q0VFX8,0,0,0,0,0,0,5
P61223,0,0,0,0,0,0,3
P62998,0,0,0,0,0,0,3
A1A4J1,0,0,0,0,0,0,3
P61585,0,0,0,0,0,0,4
Q3B7M5,0,0,0,0,0,0,4
C0HK52,0,0,0,0,0,4,0
Q9XTA3,0,0,0,0,0,0,5
P02070,0,0,0,0,0,0,5
Q32S24,0,0,0,0,0,0,5
P13135,0,0,0,0,0,0,3
Q29RQ1,0,0,3,0,0,0,0
P16602,0,0,0,3,0,0,0
A6QLY4,0,0,0,0,0,0,3
Q3SZD7,0,0,0,0,0,0,4
Q27970,0,0,0,0,0,0,4
C0HK51,0,0,0,0,0,3,0
P19012,0,0,0,0,3,0,0
