"","Np","p","P02647","p","P02768","p","P04264","p","P13645","p","P35908","p","P35527","p","P02788","p","P02533"
"1","AMNP",4.92013194707178,0,9.8527119470435,0,0.448252869698903,0,0.453047025817516,0,0.214748997367841,0,0.196895679075594,0.00362757,0.0524045396557061,0,0.017317500291835,0
"2","CMNP",4.92013194707178,0,9.8527119470435,0,0.448252869698903,0,0.453047025817516,0,0.214748997367841,0,0.196895679075594,0.002089864,0.0524045396557061,0,0.017317500291835,0
"3","NP50",6.22063581769541,0,6.82016828701225,0.004602639,1.34810155144779,0.023626879,1.2183504205368,0.014114759,0.752128480826399,0.023013194,0.506860034084799,0.015648972,0.0767165394052684,0,0.146146494066551,0.005523167
"4","con",4.93383769190245,0.002316602,9.88188538957684,0.004890605,0.281458216844131,0.02960103,0.250475197230709,0.023166023,0.104547431814088,0.030888031,0.107993215972621,0.016473616,0.0524045396557061,0,0.010100561172335,0.009266409
"5","p2k",4.97646633885694,0.006181319,9.94565465239715,0.014423077,0.268383056884996,0.074175824,0.229161611037642,0.056318681,0.10454105533124,0.068681319,0.0866951750780781,0.046703297,0.0531943681232595,0,0.00910804390585878,0.027472527
"6","p20k",4.70314308916744,0.007830854,9.44794541628939,0.015661707,0.380556359182049,0.072826938,0.309259480135662,0.051683634,0.151555895732869,0.057948316,0.136907870288959,0.036021926,0.0549125766424094,0.005481597,0.020455403767028,0.018010963
"7","phys",5.48011275068785,0.001185115,9.48088841022897,0.003792368,0.191629146504924,0.037449633,0.131581857371793,0.022280161,0.0583722177339404,0.026072529,0.0835399379073039,0.025598483,0.0532791978182709,0,0.011492000304317,0.014695425
