"","r2","rm"
"1",0,0
"2",-0.488901250131792,NA
"3",0.0609673501761325,NA
"4",-0.268104902053637,NA
"5",-0.365240457622803,NA
"6",-0.245673130150278,NA
"7",-0.377842593754548,NA
"8",-0.0767403384729569,NA
"9",-0.263277708386579,NA
